Id,Display name,Site Handle (visible to searchers in the URL),Site domains,Crawl depth,Search engine,Notes
1558,"149th Fighter Wing, Texas ANG",afpw_149fw,www.149fw.ang.af.mil,Deep,BingV7,
1559,"151st ARW, Utah Air National Guard",afpw_151arw,www.151arw.ang.af.mil,Deep,BingV7,
1560,"152nd Airlift Wing, NV ANG",afpw_152aw,www.152aw.ang.af.mil,Deep,BingV7,
1561,"153rd Airlift Wing, Wyoming ANG",afpw_153aw,www.153aw.ang.af.mil,Deep,BingV7,
1562,"154th Wing, Hawaii Air National Guard",afpw_154wg,www.154wg.ang.af.mil,Deep,BingV7,
1563,155th Air Refueling Wing,afpw_155arw,www.155arw.ang.af.mil,Deep,BingV7,
1564,"157th ARW, New Hampshire ANG",afpw_157arw,www.157arw.ang.af.mil,Deep,BingV7,
1565,"158th Fighter Wing, Vermont ANG",afpw_158fw,www.158fw.ang.af.mil,Deep,BingV7,
1567,161st Air Refueling Wing,afpw_161arw,www.161arw.ang.af.mil,Deep,BingV7,
1568,162nd Combat Communications Group,afpw_162ccg,www.162ccg.ang.af.mil,Deep,BingV7,
1569,"162nd Wing, Arizona ANG",afpw_162fw,www.162wing.ang.af.mil,Deep,BingV7,
1569,"162nd Wing, Arizona ANG",afpw_162fw,www.162fw.ang.af.mil,Deep,BingV7,
1570,"163rd ATKW, California Air National Guard",afpw_163rw,www.163rw.ang.af.mil,Deep,,
1570,"163rd ATKW, California Air National Guard",afpw_163rw,www.163atkw.ang.af.mil,Deep,BingV7,
1572,"167th Airlift Wing, West Virginia Air National Guard",afpw_167aw,www.167aw.ang.af.mil,Deep,BingV7,
1573,"168th Air Refueling Wing, Alaska ANG",afpw_168arw,www.168arw.ang.af.mil,Deep,BingV7,
1574,169th Fighter Wing,afpw_169fw,www.169fw.ang.af.mil,Deep,BingV7,
1575,"171st ARW, Pennsylvania ANG",afpw_171arw,www.171arw.ang.af.mil,Deep,BingV7,
1519,107th AW,afpw_107aw,www.107aw.ang.af.mil,Deep,BingV7,
1520,108th Wing,afpw_108arw,www.108arw.ang.af.mil,Deep,BingV7,
1523,110th Wing,afpw_110aw,www.110wg.ang.af.mil,Deep,BingV7,
1524,111th Attack Wing,afpw_111fw,www.111fw.ang.af.mil,Deep,BingV7,
1524,111th Attack Wing,afpw_111fw,www.111attackwing.ang.af.mil,Deep,BingV7,
1525,114th Fighter Wing,afpw_114fw,www.114fw.ang.af.mil,Deep,BingV7,
1526,115th Fighter Wing,afpw_115fw,www.115fw.ang.af.mil,Deep,BingV7,
